id;card_number;transaction_date;value;segment
CTID44848934;9558-5469-2562-5608;08/02/2016;923;SEG24
CTID64653783;7106-4239-7093-1515;23/07/2016;791;SEG24
CTID43918347;4012-7774-6690-7055;31/10/2016;18050;SEG21
CTID36424269;2388-1652-4326-6035;08/05/2016;49241;SEG19
CTID37087126;9425-1481-6545-6190;02/05/2016;3312;SEG14
CTID46559245;8214-9590-3044-1216;18/08/2016;6017;SEG12
CTID96460752;8002-6041-9878-5658;05/07/2016;7922;SEG24
CTID53137239;3970-3872-2591-7629;04/02/2016;538;SEG18
CTID78037787;4856-2191-9879-6388;04/09/2016;5875;SEG25
CTID34257201;7199-4140-9327-8875;07/01/2016;11391;SEG19
CTID87655024;5574-7647-1844-5316;23/12/2016;49850;SEG15
CTID43317697;1519-5130-5810-8539;13/12/2016;11677;SEG17
CTID93066593;1782-5331-5899-1813;07/06/2016;45150;SEG21
CTID73370198;6429-7684-3108-1910;02/09/2016;38311;SEG22
CTID64464335;2158-2612-7934-6228;06/06/2016;22688;SEG25
CTID83877587;6479-5593-2105-9060;30/06/2016;48099;SEG12
CTID95724280;8138-6235-7062-6142;28/09/2016;9137;SEG22
CTID80738176;5814-6146-3149-1775;10/02/2016;16465;SEG14
CTID83565345;7908-3850-6633-2606;29/03/2016;45009;SEG21
CTID70931296;8069-5321-4131-7493;10/10/2016;49421;SEG21
CTID39086793;9322-7578-8781-2684;12/02/2016;3207;SEG19
CTID84054807;3545-8540-7402-9523;05/10/2016;33457;SEG19
CTID46576054;6315-7338-3105-9947;21/07/2016;21291;SEG25
CTID43119356;8287-3054-9804-9342;11/06/2016;10802;SEG22
CTID27412160;8558-3872-8287-1977;17/08/2016;6612;SEG12
CTID82181529;4646-8260-8197-7078;17/12/2016;13382;SEG23
CTID82424629;4144-3271-6301-9342;16/11/2016;19138;SEG15
CTID86336237;9030-1667-6058-6173;18/05/2016;40685;SEG22
CTID79948101;5564-7149-9280-5472;01/11/2016;31229;SEG23
CTID86479697;8976-7958-2694-8171;23/08/2016;23411;SEG13
CTID63424977;6258-3903-6637-5620;05/11/2016;18385;SEG15
CTID88197015;7725-3576-5626-3317;26/01/2016;41412;SEG19
CTID23874549;5731-9804-7859-1641;15/11/2016;37549;SEG25
CTID47629063;2524-4184-5908-6750;15/10/2016;11794;SEG20
CTID78417086;8711-5325-4752-4743;17/10/2016;25057;SEG17
CTID30981071;6429-7684-3108-1910;17/11/2016;37349;SEG24
CTID50644566;5962-5634-2696-2739;06/07/2016;28185;SEG24
CTID19814467;9635-4234-8168-7095;02/11/2016;12816;SEG21
CTID75949301;2342-6589-6557-6739;05/01/2016;34979;SEG23
CTID53721244;8462-5562-6993-2745;11/12/2016;14714;SEG23
CTID69444112;6540-2862-2962-5109;07/10/2016;36289;SEG19
CTID45102523;3001-2844-6540-3608;24/11/2016;33070;SEG17
CTID81231078;7106-4239-7093-1515;16/04/2016;31772;SEG22
CTID60231786;6292-8171-2649-5336;09/04/2016;5512;SEG14
CTID95124101;9132-7052-6630-5540;06/07/2016;16482;SEG24
CTID97984045;8499-3007-6025-2772;08/12/2016;41288;SEG18
CTID99838171;4587-3535-8224-4301;02/03/2016;39900;SEG21
CTID78436198;8869-7604-9618-3740;24/05/2016;15339;SEG20
CTID43381765;3405-7202-8402-5988;16/06/2016;4281;SEG17
CTID37191193;6570-8163-4369-9734;27/09/2016;1362;SEG13
CTID86875453;3697-6001-4909-5350;06/08/2016;23899;SEG14
CTID25910248;6835-6133-8935-6988;11/01/2016;11603;SEG25
CTID65118562;6016-6956-6981-3103;31/03/2016;13846;SEG19
CTID42521590;5574-7647-1844-5316;15/03/2016;44004;SEG17
CTID17449228;4530-1687-6778-1250;12/07/2016;38402;SEG12
CTID33731135;3146-4961-6964-4229;19/10/2016;30276;SEG22
CTID31840273;5619-4425-5473-6565;12/08/2016;21480;SEG20
CTID40039863;1350-6303-6190-5958;05/07/2016;10047;SEG16
CTID95970549;4530-1687-6778-1250;11/05/2016;25830;SEG19
CTID30170622;6244-6800-1680-7174;19/03/2016;26320;SEG13
CTID90432604;3970-3872-2591-7629;14/04/2016;26010;SEG16
CTID48560722;8706-3809-5167-3899;28/04/2016;36343;SEG23
CTID26884263;4375-1627-3683-5900;30/03/2016;4979;SEG21
CTID82383663;4661-5769-5059-2114;27/07/2016;16337;SEG16
CTID85823317;6770-4547-6958-5035;06/06/2016;7922;SEG20
CTID55733759;9779-2601-5260-2896;22/07/2016;12586;SEG13
CTID73725775;9635-4234-8168-7095;07/05/2016;7359;SEG21
CTID70164408;1893-8853-9900-8478;13/02/2016;33881;SEG15
CTID49469652;5254-4916-6547-4795;01/11/2016;19185;SEG17
CTID98235722;2524-4184-5908-6750;08/01/2016;17944;SEG16
CTID70505665;3513-5475-4629-7570;13/09/2016;11827;SEG13
CTID64410411;3594-2190-6052-1265;06/10/2016;1646;SEG21
CTID92072838;4708-4407-9601-6022;24/05/2016;13760;SEG13
CTID69356284;4661-5769-5059-2114;02/09/2016;19828;SEG25
CTID65976596;9132-7052-6630-5540;20/04/2016;35952;SEG13
CTID82524556;7290-4771-9163-1291;20/12/2016;21272;SEG25
CTID81914119;9356-9491-6534-8313;11/12/2016;25860;SEG15
CTID93746905;6016-6956-6981-3103;17/03/2016;42921;SEG23
CTID78965861;2911-7555-3093-9231;05/08/2016;23324;SEG16
CTID42565076;5262-2954-4306-9001;18/10/2016;40168;SEG21
CTID83475020;5936-1967-4966-6077;17/01/2016;33198;SEG18
CTID18085052;2463-9055-1240-3878;26/08/2016;5824;SEG12
CTID36224112;6479-5593-2105-9060;25/09/2016;30907;SEG23
CTID76128141;7752-7762-8832-3142;08/02/2016;38073;SEG17
CTID64837417;4203-2936-4855-8802;02/02/2016;4386;SEG24
CTID79250194;3140-6494-9869-5893;26/08/2016;6893;SEG13
CTID48460438;1438-6906-2509-8219;22/11/2016;23518;SEG20
CTID85567981;6547-1222-2350-2503;05/03/2016;36685;SEG20
CTID50309205;1187-8674-2708-3972;10/11/2016;21317;SEG21
CTID29161788;5778-9566-9086-7555;31/10/2016;34095;SEG13
CTID60675977;5805-3882-2982-9418;26/08/2016;17309;SEG16
CTID42702384;1481-2536-2178-7547;13/04/2016;8011;SEG23
CTID94341018;8793-4049-9771-8176;21/09/2016;28977;SEG20
CTID83257787;1464-1118-5953-6424;31/08/2016;20797;SEG12
CTID51796218;8706-3809-5167-3899;19/05/2016;7253;SEG23
CTID35920481;4040-7464-4000-3447;14/10/2016;31696;SEG19
CTID25498685;2764-7023-8396-5255;24/05/2016;29871;SEG16
CTID45346569;2264-2870-6785-2725;10/05/2016;13614;SEG11
CTID32918060;8507-1459-7315-8148;06/12/2016;47116;SEG12
CTID61083474;7164-1323-2737-4112;22/10/2016;40481;SEG15
CTID46074589;7900-3001-7632-4005;03/06/2016;8931;SEG14
CTID26919271;5094-8484-5014-6152;05/03/2016;12890;SEG24
CTID88828739;3810-4783-2207-7703;21/12/2016;36762;SEG13
CTID41045726;6321-2048-7733-8765;19/07/2016;13095;SEG25
CTID25953798;7504-5906-9389-8905;02/02/2016;7610;SEG25
CTID45644605;5129-6974-6371-2964;07/08/2016;47008;SEG13
CTID84610068;6722-7299-6082-7974;04/08/2016;1696;SEG23
CTID72035591;8214-9590-3044-1216;14/01/2016;47225;SEG18
CTID35606685;5094-8484-5014-6152;19/01/2016;18668;SEG16
CTID56191386;7752-7762-8832-3142;06/04/2016;17409;SEG17
CTID33769856;5747-7372-2770-2325;12/05/2016;16333;SEG19
CTID19399393;1661-3809-5334-2155;12/12/2016;33841;SEG18
CTID18967500;5587-7265-8118-7718;10/07/2016;4593;SEG13
CTID36981281;9930-4634-8565-6716;31/12/2016;28945;SEG14
CTID81968570;8582-2422-3251-5767;13/03/2016;20127;SEG18
CTID54988609;2342-6589-6557-6739;13/12/2016;37908;SEG19
CTID27325296;8839-9467-3960-3997;21/05/2016;16901;SEG19
CTID43051268;5957-5032-1448-8189;21/10/2016;43141;SEG16
CTID43846241;2219-4852-5937-6242;24/04/2016;9411;SEG25
CTID47217065;2911-7555-3093-9231;28/11/2016;24951;SEG19
CTID61335826;6876-7378-4945-3251;01/06/2016;21663;SEG11
CTID11903557;8951-3220-4809-9797;19/06/2016;46858;SEG12
CTID35911781;5619-4425-5473-6565;14/07/2016;30914;SEG18
CTID88415437;1546-9786-8388-4937;23/03/2016;6249;SEG14
CTID33696969;6148-9835-7115-4405;06/02/2016;34339;SEG12
CTID61439229;8673-7935-5776-9119;03/11/2016;20427;SEG22
CTID59320532;4420-9925-9792-9113;21/11/2016;10732;SEG23
CTID87255867;4783-2852-8264-4966;20/09/2016;6427;SEG23
CTID92158173;7430-6895-6227-4665;07/10/2016;16802;SEG18
CTID46848358;7504-5906-9389-8905;28/07/2016;2941;SEG22
CTID87881710;4262-7103-6508-4214;14/05/2016;37392;SEG13
CTID67772022;2264-2870-6785-2725;11/11/2016;37137;SEG18
CTID60185046;4954-2506-4917-1734;08/02/2016;24129;SEG14
CTID25129862;2764-7023-8396-5255;27/06/2016;9890;SEG24
CTID61238798;7662-3108-4951-8587;19/04/2016;17696;SEG25
CTID88568671;2388-1652-4326-6035;25/11/2016;26353;SEG23
CTID79795511;5088-4839-2639-6414;25/12/2016;28365;SEG15
CTID47600881;1629-9566-3285-2123;05/07/2016;11063;SEG24
CTID96928917;4663-3168-7059-6778;25/04/2016;45593;SEG19
CTID28113757;8287-3054-9804-9342;10/03/2016;26094;SEG21
CTID19738397;8711-5325-4752-4743;15/12/2016;31594;SEG13
CTID31694270;6815-5139-5546-1802;20/12/2016;26028;SEG15
CTID15312006;1629-9566-3285-2123;30/10/2016;47956;SEG18
CTID72978321;8486-4186-7122-3452;08/12/2016;504;SEG17
CTID84062657;3914-1379-8974-9157;09/10/2016;19207;SEG13
CTID11595602;7299-3529-7767-1695;28/09/2016;2412;SEG15
CTID66643270;5316-4617-7300-3260;15/05/2016;40640;SEG13
CTID66419947;3114-9778-2542-3154;16/09/2016;42685;SEG21
CTID20290129;5734-5619-8469-4044;25/09/2016;21690;SEG17
CTID33285211;7837-4036-5999-1672;29/12/2016;46598;SEG25
CTID79675660;4806-6889-9908-7496;22/12/2016;38520;SEG21
CTID17838728;9302-6470-7735-6371;28/03/2016;11828;SEG20
CTID74509588;3544-7836-9589-7635;03/11/2016;14822;SEG24
CTID89161945;4770-7274-9917-1594;22/07/2016;29128;SEG22
CTID37787824;3648-6856-2869-1255;18/04/2016;34515;SEG14
CTID70738862;1175-3754-1370-5515;10/12/2016;33772;SEG19
CTID81162633;7726-3678-8092-6414;20/10/2016;5662;SEG19
CTID34563897;2535-9251-5633-3656;27/03/2016;26488;SEG15
CTID99236877;4864-7119-5608-7611;09/09/2016;6159;SEG24
CTID38136354;5533-2042-7236-9790;23/12/2016;28728;SEG16
CTID94527879;8115-7743-6213-9284;07/02/2016;48897;SEG16
CTID17755699;8904-2491-3727-6958;27/05/2016;30561;SEG24
CTID31765522;2724-3903-7331-7820;03/02/2016;27527;SEG25
CTID49665822;5262-2954-4306-9001;19/09/2016;43106;SEG15
CTID22706088;5384-8278-5616-5502;17/04/2016;3829;SEG12
CTID87109827;7326-9558-4788-5128;21/04/2016;3558;SEG12
CTID16785088;4093-1634-8086-4601;09/03/2016;43485;SEG12
CTID54196953;3970-3872-2591-7629;05/02/2016;45089;SEG25
CTID79995537;7966-2894-6066-2530;16/04/2016;37226;SEG21
CTID21467967;8002-6041-9878-5658;31/10/2016;33869;SEG18
CTID31345238;6429-7684-3108-1910;28/03/2016;36677;SEG15
CTID82976875;3295-6390-4452-7199;10/08/2016;27627;SEG19
CTID26532657;8341-5263-4582-7396;08/09/2016;42554;SEG21
CTID67522407;2342-6589-6557-6739;05/09/2016;14076;SEG16
CTID43145513;3914-1379-8974-9157;22/12/2016;19715;SEG16
CTID93503703;6691-5105-1556-4131;01/04/2016;5692;SEG11
CTID62578919;1123-9777-7335-9167;26/07/2016;30427;SEG18
CTID15429687;2349-2290-6329-3624;01/01/2016;42145;SEG12
CTID27598906;6574-5513-6101-1905;29/06/2016;17153;SEG11
CTID97065995;5587-7265-8118-7718;07/02/2016;45132;SEG12
CTID73533570;7815-5255-1963-9464;30/07/2016;8528;SEG20
CTID77415910;3914-1379-8974-9157;27/10/2016;48689;SEG14
CTID71070393;4448-9587-7180-9589;21/06/2016;29964;SEG12
CTID87337622;9360-2827-9359-7064;28/06/2016;40857;SEG22
CTID22513927;5251-7364-6702-5590;29/03/2016;40904;SEG20
CTID20264288;5251-7364-6702-5590;19/06/2016;40064;SEG20
CTID85957800;7908-3850-6633-2606;22/03/2016;43320;SEG24
CTID61061607;9517-7826-1862-6726;02/04/2016;15808;SEG16
CTID92039385;2158-2612-7934-6228;20/04/2016;36092;SEG12
CTID82822580;4971-8219-1133-6753;25/07/2016;6722;SEG11
CTID14634965;3467-3224-2464-5799;27/09/2016;23431;SEG17
CTID18499125;9302-6470-7735-6371;30/06/2016;10122;SEG25
CTID67120773;2347-2804-9899-1830;21/03/2016;4138;SEG19
CTID17258479;4448-9587-7180-9589;07/05/2016;28659;SEG14
CTID79670877;3170-4662-9297-6384;16/08/2016;37790;SEG25
CTID30339146;1782-8675-4061-3666;20/09/2016;36587;SEG14
CTID37875443;9446-5484-2517-1811;31/07/2016;45647;SEG12
CTID11569639;8467-5358-5569-3718;31/03/2016;29044;SEG21
CTID66871972;3196-5064-6247-7113;06/12/2016;37045;SEG24
CTID20240018;5005-7427-6443-4284;01/03/2016;36978;SEG21
CTID92004542;6770-4547-6958-5035;31/01/2016;9162;SEG13
CTID80956540;8259-5688-7450-9931;24/03/2016;36061;SEG25
CTID76307839;7334-1842-5941-2149;27/02/2016;28034;SEG14
CTID55156466;8950-6403-2080-8100;20/06/2016;8753;SEG22
CTID84780304;9843-6858-7863-1891;14/05/2016;12098;SEG15
CTID34692836;9248-9032-8076-1225;07/06/2016;49831;SEG18
CTID35998754;2264-2870-6785-2725;21/10/2016;6417;SEG23
CTID31752065;7843-4724-2851-6218;13/09/2016;28173;SEG14
CTID39186763;7224-9964-4793-3939;22/03/2016;24093;SEG19
CTID65237468;3525-9763-6876-7431;02/03/2016;32561;SEG20
CTID86874072;4973-1293-1664-2086;21/09/2016;43336;SEG23
CTID54955450;7017-9570-4103-5076;23/01/2016;3095;SEG22
CTID89082845;1559-8764-1659-4317;08/05/2016;45689;SEG24
CTID44439225;6025-2610-4001-6680;10/02/2016;22017;SEG13
CTID55808000;9030-1667-6058-6173;21/06/2016;12886;SEG15
CTID18332181;9873-6894-5872-1884;04/03/2016;5578;SEG17
CTID73513009;9356-9491-6534-8313;02/09/2016;18331;SEG12
CTID44710157;4971-8219-1133-6753;14/11/2016;19934;SEG24
CTID80635161;3623-4506-7311-5151;02/04/2016;11952;SEG13
CTID69273305;7729-4037-1361-9467;29/11/2016;37739;SEG11
CTID23744383;7164-1323-2737-4112;19/01/2016;29516;SEG24
CTID54264301;8321-8463-7644-8934;13/10/2016;4635;SEG11
CTID82622569;6016-6956-6981-3103;06/10/2016;4702;SEG11
CTID55602751;5574-7647-1844-5316;14/05/2016;49201;SEG24
CTID94220978;5960-5753-3689-8262;12/12/2016;23439;SEG12
CTID89727182;2764-7023-8396-5255;17/12/2016;29395;SEG13
CTID37024735;9779-2601-5260-2896;15/06/2016;15416;SEG19
CTID54292939;9842-5558-3255-3410;05/06/2016;45141;SEG11
CTID18584743;8138-6235-7062-6142;01/10/2016;28040;SEG25
CTID99227542;1336-9200-1264-2551;09/10/2016;25486;SEG15
CTID43660338;4856-2191-9879-6388;06/12/2016;25593;SEG25
CTID46450452;2271-9253-1553-2843;21/07/2016;42906;SEG22
CTID88110695;2711-5438-4449-9824;10/03/2016;2802;SEG22
CTID87407374;9635-4234-8168-7095;04/01/2016;34880;SEG25
CTID71644803;9248-9032-8076-1225;08/08/2016;35803;SEG15
CTID60196850;2495-1344-4998-6045;21/05/2016;46201;SEG25
CTID37677046;3001-2844-6540-3608;17/02/2016;24182;SEG23
CTID25624268;8408-7680-2338-9105;26/04/2016;46222;SEG13
CTID56580808;3323-8332-7133-7008;30/01/2016;30087;SEG25
CTID57020299;9843-6858-7863-1891;15/09/2016;195;SEG21
CTID86959631;5563-4162-6828-9835;05/12/2016;40168;SEG14
CTID98844242;1749-4777-2532-7766;31/12/2016;15221;SEG23
CTID31907261;8231-5519-1948-3400;02/01/2016;1752;SEG19
CTID67517916;8850-8297-4094-3048;08/01/2016;4981;SEG19
CTID50499332;9999-3058-2698-4238;21/11/2016;23846;SEG17
CTID85296172;7752-7762-8832-3142;25/02/2016;17560;SEG15
CTID18241835;6319-3749-2944-6015;27/09/2016;28003;SEG11
CTID91627532;9635-4234-8168-7095;03/09/2016;18485;SEG11
CTID73562448;2595-8621-2855-9119;25/09/2016;46258;SEG21
CTID55936727;6085-9783-3284-2783;18/06/2016;22630;SEG13
CTID70897203;6876-7378-4945-3251;12/09/2016;18270;SEG22
CTID36614970;2724-3903-7331-7820;24/03/2016;39104;SEG22
CTID85823771;5094-8484-5014-6152;28/04/2016;49976;SEG24
CTID72708146;9074-3311-4009-9836;28/08/2016;45585;SEG15
CTID96666759;8950-6403-2080-8100;22/07/2016;5974;SEG15
CTID70879980;5447-4124-3337-6163;05/10/2016;40863;SEG18
CTID64309346;6042-2856-7280-2925;15/12/2016;11980;SEG18
CTID52829912;7726-3678-8092-6414;16/05/2016;47308;SEG13
CTID19854753;8214-9590-3044-1216;23/08/2016;34014;SEG22
CTID30225400;3467-3224-2464-5799;21/07/2016;5469;SEG18
CTID37995759;9391-7086-9113-4893;12/04/2016;35226;SEG19
CTID39288861;8106-9789-1679-2552;08/01/2016;3505;SEG14
CTID88620196;9779-2601-5260-2896;15/09/2016;34962;SEG11
CTID64635182;9030-1667-6058-6173;02/04/2016;43507;SEG13
CTID49450481;2830-1922-3225-5423;25/04/2016;17330;SEG23
CTID72996769;8558-3872-8287-1977;17/06/2016;26974;SEG25
CTID34955168;5616-5526-4836-1962;28/01/2016;30451;SEG25
CTID90237812;9425-1481-6545-6190;23/08/2016;20909;SEG20
CTID78603361;9753-7718-2196-1448;09/04/2016;6619;SEG20
CTID46552098;2595-7800-1142-5225;22/02/2016;41744;SEG21
CTID67779156;4530-1687-6778-1250;29/07/2016;34133;SEG21
CTID43456194;7447-6644-5678-8061;19/11/2016;19154;SEG16
CTID57718050;6557-2662-6932-6028;30/07/2016;17758;SEG17
CTID23760921;5695-2379-4433-2485;24/07/2016;4196;SEG11
CTID33230332;5786-9833-8038-2159;31/01/2016;13616;SEG11
CTID61792324;5864-4475-3659-1440;24/01/2016;45318;SEG22
CTID80432041;3007-2083-4197-9770;22/02/2016;28081;SEG24
CTID47260904;1536-9786-1960-7400;09/09/2016;30426;SEG24
CTID77604596;1947-8327-3848-6581;05/10/2016;28080;SEG22
CTID21455529;6770-3803-2120-3012;18/04/2016;12829;SEG19
CTID23906154;5088-4839-2639-6414;27/05/2016;30992;SEG17
CTID34492430;5962-5634-2696-2739;04/01/2016;16762;SEG13
CTID98823518;8462-5562-6993-2745;09/04/2016;47982;SEG14
CTID54385435;8217-2336-2393-6960;14/02/2016;39503;SEG20
CTID55440537;4375-1627-3683-5900;14/05/2016;43670;SEG18
CTID60665558;8115-7743-6213-9284;28/07/2016;6681;SEG23
CTID45674196;5786-2204-6101-1373;07/09/2016;33331;SEG14
CTID14870932;1893-8853-9900-8478;09/10/2016;47286;SEG12
CTID35295345;5695-2379-4433-2485;25/12/2016;20197;SEG16
CTID73930460;8797-7761-7623-1806;07/11/2016;28556;SEG14
CTID63120283;2992-8127-2278-9771;05/02/2016;13241;SEG12
CTID13667213;1947-8327-3848-6581;25/03/2016;17306;SEG25
CTID63254615;5590-1294-8800-2874;02/04/2016;14320;SEG14
CTID47721889;5530-1215-6434-9691;10/01/2016;4424;SEG19
CTID57323066;5274-7205-2377-3357;27/03/2016;12723;SEG24
CTID62016401;5814-6146-3149-1775;18/06/2016;31053;SEG12
CTID40204867;7811-4511-7664-6960;01/05/2016;36140;SEG11
CTID78849122;1782-8675-4061-3666;13/11/2016;41747;SEG13
CTID91653705;4138-5166-7490-1188;13/07/2016;28625;SEG14
CTID12281073;2349-2290-6329-3624;26/12/2016;14707;SEG21
CTID41625755;3461-8685-2115-2963;14/04/2016;30954;SEG13
CTID81424939;6197-7150-9163-8287;28/01/2016;1753;SEG23
CTID11367005;6574-5513-6101-1905;10/08/2016;1330;SEG20
CTID50914653;5786-9833-8038-2159;28/10/2016;24817;SEG11
CTID96819489;7224-9964-4793-3939;17/06/2016;47945;SEG17
CTID77194484;9933-8699-5268-4345;10/02/2016;9557;SEG19
CTID83771213;3922-3698-6304-1975;05/01/2016;14565;SEG11
CTID27263941;2388-1652-4326-6035;19/03/2016;13153;SEG19
CTID50346974;9946-6939-3033-9593;13/04/2016;3597;SEG12
CTID11121666;5734-5619-8469-4044;28/10/2016;5845;SEG25
CTID66481201;2517-1247-3682-9050;19/03/2016;23203;SEG19
CTID45266171;1782-5331-5899-1813;14/12/2016;32420;SEG18
CTID13284924;5674-3252-5805-3288;14/01/2016;20092;SEG21
CTID41016745;8638-5407-3631-8196;09/05/2016;20925;SEG11
CTID35797012;5978-8449-1139-4565;02/11/2016;20483;SEG18
CTID95712188;2949-1972-1300-6680;29/06/2016;13109;SEG25
CTID72787052;6479-5593-2105-9060;24/02/2016;9805;SEG25
CTID99345289;8725-3610-8060-2617;02/04/2016;20770;SEG22
CTID47217075;4770-7274-9917-1594;21/09/2016;44257;SEG11
CTID94018890;5978-8449-1139-4565;29/05/2016;1900;SEG11
CTID95486681;3922-3698-6304-1975;21/02/2016;13125;SEG12
CTID65900329;3698-9867-4865-5497;05/01/2016;24198;SEG16
CTID58463742;6415-7043-2998-3377;17/01/2016;5864;SEG24
CTID28791211;5587-7265-8118-7718;07/02/2016;11920;SEG16
CTID71849994;7633-7985-2079-2990;06/07/2016;23220;SEG17
CTID34457221;7583-5046-7750-5578;19/09/2016;28820;SEG16
CTID67407325;7729-4037-1361-9467;07/05/2016;32584;SEG12
CTID90507329;9933-8699-5268-4345;27/01/2016;3874;SEG24
CTID32642104;5616-5526-4836-1962;21/11/2016;6803;SEG15
CTID58755550;6514-4444-5642-2615;11/10/2016;15824;SEG16
CTID76274185;5590-1294-8800-2874;28/10/2016;9223;SEG23
CTID27726301;4375-1627-3683-5900;13/03/2016;16599;SEG17
CTID87810668;3439-5404-2739-7517;16/03/2016;16320;SEG25
CTID78783895;7863-1291-5335-8126;26/09/2016;22281;SEG17
CTID74956998;3414-4178-9784-9954;26/01/2016;19173;SEG12
CTID47671275;5316-4617-7300-3260;12/09/2016;46290;SEG16
CTID13849373;7908-3850-6633-2606;17/04/2016;48948;SEG12
CTID61405821;7966-2894-6066-2530;06/10/2016;2199;SEG23
CTID27439261;5583-9751-6086-5673;09/01/2016;3656;SEG24
CTID54934772;5984-2442-3351-3695;22/10/2016;49645;SEG22
CTID26604124;2524-4184-5908-6750;05/01/2016;49928;SEG15
CTID29444449;6620-4005-4574-6263;12/05/2016;19131;SEG22
CTID79461899;9604-6821-2861-8084;06/11/2016;23109;SEG16
CTID15835900;6071-3874-2856-8755;30/05/2016;16955;SEG22
CTID48198595;6001-5945-4665-4926;30/06/2016;2643;SEG16
CTID30133008;8509-8871-7296-2015;17/12/2016;24834;SEG25
CTID69981122;7306-7457-8875-3211;05/03/2016;46374;SEG24
CTID27378742;7725-3576-5626-3317;19/05/2016;30294;SEG25
CTID52182545;4834-4297-3113-9327;23/12/2016;40832;SEG11
CTID55105900;8691-3939-1859-5937;15/11/2016;39751;SEG24
CTID68392272;4139-7870-9436-2923;23/04/2016;44460;SEG20
CTID90058756;2764-7023-8396-5255;01/05/2016;14317;SEG20
CTID66883538;4040-7464-4000-3447;21/12/2016;34731;SEG15
CTID92042379;6148-9835-7115-4405;25/02/2016;46507;SEG23
CTID93179023;9161-8723-1217-5269;27/01/2016;8831;SEG23
CTID63210795;7908-2695-7391-7499;23/08/2016;7609;SEG17
CTID80895207;4587-3535-8224-4301;18/01/2016;15383;SEG20
CTID14000307;7752-7762-8832-3142;08/10/2016;27656;SEG25
CTID99919065;8870-2780-7399-5151;30/06/2016;27392;SEG14
CTID15532549;3914-1379-8974-9157;01/12/2016;12196;SEG23
CTID44094076;6835-6133-8935-6988;02/04/2016;7892;SEG21
CTID98150151;4937-6752-6970-3163;09/05/2016;45242;SEG17
CTID98845662;3697-6001-4909-5350;14/01/2016;18018;SEG11
CTID73102940;8159-1257-4706-7544;15/10/2016;2808;SEG22
CTID64363841;4144-3271-6301-9342;28/05/2016;13720;SEG14
CTID58598772;7726-3678-8092-6414;27/03/2016;27526;SEG21
CTID99493865;8951-3220-4809-9797;11/11/2016;31374;SEG24
CTID44902769;7326-9558-4788-5128;07/10/2016;2401;SEG25
CTID33568817;4646-8260-8197-7078;30/01/2016;15120;SEG16
CTID94413178;9933-8699-5268-4345;15/02/2016;19064;SEG25
CTID67894992;4663-3168-7059-6778;13/12/2016;39219;SEG17
CTID58278827;5864-4475-3659-1440;12/03/2016;7251;SEG16
CTID87787205;4354-1258-5178-5618;05/08/2016;20945;SEG14
CTID90930974;9360-2827-9359-7064;23/01/2016;42617;SEG18
CTID56367924;5993-5660-3442-6277;08/05/2016;25486;SEG25
CTID32699801;7837-4036-5999-1672;16/06/2016;19278;SEG21
CTID60964959;1909-6288-2284-5317;16/08/2016;36665;SEG16
CTID32755542;8486-4186-7122-3452;03/06/2016;873;SEG14
CTID70203016;8783-7271-8493-7931;12/09/2016;19322;SEG14
CTID68852830;1616-5911-1676-5466;04/06/2016;25549;SEG13
CTID50167006;3134-9713-5764-8285;17/07/2016;38381;SEG19
CTID51580177;9458-1130-5333-6475;23/06/2016;38191;SEG11
CTID70863253;7908-2695-7391-7499;14/05/2016;31619;SEG23
CTID37572030;7658-7645-4568-1461;09/08/2016;46018;SEG12
CTID70644003;9999-3058-2698-4238;01/01/2016;17443;SEG11
CTID74210163;4040-7464-4000-3447;22/09/2016;25704;SEG15
CTID11215872;5088-4839-2639-6414;26/10/2016;22451;SEG20
CTID20596527;7658-7645-4568-1461;18/06/2016;3571;SEG22
CTID29438314;7586-6475-9618-3909;29/09/2016;6322;SEG13
CTID29657213;9310-6095-5617-9905;15/06/2016;28576;SEG13
CTID20428882;1546-9786-8388-4937;22/06/2016;26173;SEG21
CTID90857094;5262-2954-4306-9001;25/03/2016;15164;SEG16
CTID97461850;4806-6889-9908-7496;30/12/2016;11318;SEG17
CTID71586482;8115-7743-6213-9284;24/01/2016;32293;SEG18
CTID45897245;8135-1903-7706-2260;14/10/2016;30160;SEG15
CTID20005770;3969-9181-6385-4422;27/09/2016;7854;SEG12
CTID84000703;4991-3814-8016-9048;06/09/2016;28896;SEG25
CTID82512584;8638-5407-3631-8196;31/08/2016;36556;SEG11
CTID42354792;9376-8684-9599-2988;20/03/2016;7149;SEG16
CTID52288894;6075-5795-3555-1281;25/01/2016;43095;SEG24
CTID84551276;1113-9175-3253-8426;10/03/2016;48413;SEG22
CTID58443100;3458-8126-3660-8686;18/11/2016;19216;SEG15
CTID94794403;8883-9569-6241-3952;20/01/2016;39574;SEG18
CTID35332693;5747-7372-2770-2325;02/06/2016;38440;SEG12
CTID48883086;4770-7274-9917-1594;22/02/2016;15588;SEG11
CTID56281407;8558-3872-8287-1977;25/05/2016;35227;SEG23
CTID29680323;3697-6001-4909-5350;12/10/2016;48287;SEG25
CTID48614531;6239-8641-8524-9441;14/03/2016;38432;SEG16
CTID12739171;5864-4475-3659-1440;30/01/2016;42745;SEG24
CTID41760879;6994-7925-9044-3458;24/11/2016;25277;SEG25
CTID72617788;8706-3809-5167-3899;15/04/2016;38429;SEG18
